127.0.0.1 - - [02/Apr/2024:20:25:02 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:25:03 +0900] "GET /test01/ HTTP/1.1" 200 4536
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:25:03 +0900] "GET /test01/img01/%ED%95%9C%EC%98%A5%EB%A7%88%EC%9D%84.jpg HTTP/1.1" 200 156061
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:25:08 +0900] "GET /test01/ HTTP/1.1" 200 4536
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:25:11 +0900] "GET /test01/CulturalRelics_ggj.jsp HTTP/1.1" 200 528
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:25:11 +0900] "GET /test01/img01/%EA%B2%BD%EA%B8%B0%EC%A0%84.jpg HTTP/1.1" 200 629303
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:26:56 +0900] "GET /test01/login.jsp HTTP/1.1" 200 469
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:37:59 +0900] "GET /test01/login.jsp HTTP/1.1" 200 469
0:0:0:0:0:0:0:1 - - [02/Apr/2024:20:58:13 +0900] "GET /test01/img01/%ED%95%9C%EC%98%A5%EB%A7%88%EC%9D%84.jpg HTTP/1.1" 200 156061
0:0:0:0:0:0:0:1 - - [02/Apr/2024:21:07:45 +0900] "GET /test01/ HTTP/1.1" 200 4536
0:0:0:0:0:0:0:1 - - [02/Apr/2024:21:07:45 +0900] "GET /test01/img01/%ED%95%9C%EC%98%A5%EB%A7%88%EC%9D%84.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:21:07:47 +0900] "GET /test01/introduce.jsp HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [02/Apr/2024:21:20:49 +0900] "GET /test01/ HTTP/1.1" 200 4536
0:0:0:0:0:0:0:1 - - [02/Apr/2024:21:20:49 +0900] "GET /test01/img01/%ED%95%9C%EC%98%A5%EB%A7%88%EC%9D%84.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:21:21:01 +0900] "GET /test01/CulturalRelics_ggj.jsp HTTP/1.1" 200 528
0:0:0:0:0:0:0:1 - - [02/Apr/2024:21:21:01 +0900] "GET /test01/img01/%EA%B2%BD%EA%B8%B0%EC%A0%84.jpg HTTP/1.1" 200 629303
0:0:0:0:0:0:0:1 - - [02/Apr/2024:21:21:50 +0900] "GET /test01/CulturalRelics_ggj.jsp HTTP/1.1" 200 528
0:0:0:0:0:0:0:1 - - [02/Apr/2024:22:12:41 +0900] "GET /test01/introduce.jsp HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [02/Apr/2024:22:18:20 +0900] "GET /test01/introduce.jsp HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [02/Apr/2024:22:18:34 +0900] "GET /test01/CulturalRelics_ggj.jsp HTTP/1.1" 200 528
0:0:0:0:0:0:0:1 - - [02/Apr/2024:22:18:34 +0900] "GET /test01/img01/%EA%B2%BD%EA%B8%B0%EC%A0%84.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:22:18:46 +0900] "GET /test01/CulturalRelics_jdcc.jsp HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [02/Apr/2024:22:18:46 +0900] "GET /test01/img01/%EC%A0%84%EB%8F%99%EC%84%B1%EB%8B%B9.jpg HTTP/1.1" 200 322028
0:0:0:0:0:0:0:1 - - [02/Apr/2024:22:19:00 +0900] "GET /test01/Education_cu.jsp HTTP/1.1" 200 863
0:0:0:0:0:0:0:1 - - [02/Apr/2024:22:19:00 +0900] "GET /test01/img01/%ED%92%8D%EB%82%A8%EB%AC%B8.PNG HTTP/1.1" 200 868148
